Name,Birth,Death,Covid,Created
Rudi Assauer,1944-04-30,2019-02-06,False,2005-12-17
Diana Athill,1917-12-21,2019-01-23,False,2006-08-14
Michael Atiyah,1929-04-22,2019-01-11,False,2001-12-09
George Atkinson III,1992-11-29,2019-12-02,False,2014-09-02
René Auberjonois,1940-06-01,2019-12-08,False,2004-01-08
Joe Auer,1941-10-11,2019-03-09,False,2005-09-08
Mel Aull,1928-12-23,2019-10-12,False,2014-09-08
Michel Aumont,1936-10-15,2019-08-28,False,2013-12-13
Leif Jørgen Aune,1925-06-07,2019-07-20,False,2006-02-06
George Austin (priest),1931-07-16,2019-01-30,False,2017-05-14
François Autain,1935-06-16,2019-12-21,False,2008-11-11
Ellis Avery,1972-10-25,2019-02-15,False,2013-06-10
Ron Avery,1956-04-19,2019-02-23,False,2017-01-04
Babiker Awadalla,1917-03-02,2019-01-17,False,2009-10-12
Michael Axworthy,1962-04-19,2019-03-16,False,2009-08-04
Kemal Aydın,1934-01-19,2019-01-08,False,2014-05-19
Max Azria,1949-01-01,2019-05-06,False,2004-11-16
Hideo Azuma,1950-02-06,2019-10-13,False,2008-11-23
Marcel Azzola,1927-07-10,2019-01-21,False,2009-10-18
Adam Babah-Alargi,1927-12-25,2019-11-04,False,2019-11-05
Khalilur Rahman Babar,1952-02-03,2019-08-26,False,2019-08-26
Paolo Babbini,1935-08-19,2019-05-25,False,2019-06-01
Rob Babcock,1953-04-19,2019-05-15,False,2005-12-14
D. Babu Paul,1941-04-11,2019-04-12,False,2008-09-23
Ramachandra Babu,1947-12-15,2019-12-21,False,2008-08-29
Christian Bach,1959-05-09,2019-02-26,False,2005-12-03
Rawshan Ara Bachchu,1932-12-17,2019-12-03,False,2018-07-14
Hildegard Bachert,1921-04-03,2019-10-17,False,2018-05-29
Kjell Bäckman,1934-02-21,2019-01-09,False,2009-01-03
Gus Backus,1937-04-19,2019-02-21,False,2007-12-12
Irena Backus,1950-04-19,2019-06-13,False,2019-06-20
June Bacon-Bercey,1928-10-23,2019-07-03,False,2007-03-05
Michel Bacos,1924-04-19,2019-03-26,False,2010-03-11
Moin Uddin Khan Badal,1952-02-21,2019-11-07,False,2018-07-23
Jamal Ahmad Mohammad Al Badawi,1963-04-19,2019-01-01,False,2004-09-30
"Robert Baden-Powell, 3rd Baron Baden-Powell",1936-10-15,2019-12-28,False,2007-03-11
Ernesto Báez,1955-05-09,2019-11-19,False,2007-09-30
Bahtiar Effendy,1958-12-10,2019-11-21,False,2019-11-28
Bai Yan (actor),1920-04-19,2019-08-19,False,2018-04-26
Bai Dezhang,1931-04-19,2019-11-23,False,2019-11-29
John Bailey (Irish politician),1945-04-14,2019-07-09,False,2006-06-14
Roberto Bailey,1952-08-10,2019-06-11,False,2011-10-03
Abu Bakar (Indonesian politician),1952-12-09,2019-07-13,False,2019-07-13
Russell Baker,1925-08-14,2019-01-21,False,2005-07-04
Dagfinn Bakke,1933-08-16,2019-01-01,False,2014-12-27
Galina Baksheeva,1945-07-12,2019-12-18,False,2020-02-20
Milan Balabán,1929-04-19,2019-01-04,False,2020-04-09
Asunción Balaguer,1925-11-08,2019-11-23,False,2009-04-19
S. Balakrishnan (composer),1948-11-08,2019-01-17,False,2011-02-06
V. Balasundaram,1942-04-19,2019-12-07,False,2009-08-20
Ken Bald,1920-08-01,2019-03-17,False,2007-01-31
Anna Costanza Baldry,1970-05-16,2019-03-09,False,2019-12-09
Dalton Baldwin,1931-12-19,2019-12-12,False,2007-02-03
Nanni Balestrini,1935-07-02,2019-05-20,False,2009-06-02
Gerald Baliles,1940-07-08,2019-10-29,False,2004-11-16
Claire Ball,1973-01-03,1982-12-31,False,2010-06-08
Peter Ball (bishop),1932-02-14,2019-06-21,False,2008-07-06
Frank Ballance,2003-01-03,2004-06-08,False,2004-02-07
Betty Ballantine,1919-04-19,2019-02-12,False,2005-03-13
Don Ballard,1927-03-15,2019-07-02,False,2014-11-12
Kaye Ballard,1925-11-20,2019-01-21,False,2005-07-18
Roger Ballenger,1950-04-19,2019-10-27,False,2008-11-22
Hugo Ballesteros Reyes,1931-01-03,2019-04-07,False,2019-04-08
Albert W. Bally,1925-04-21,2019-07-30,False,2016-12-13
Earl Balmer,1935-12-13,2019-10-25,False,2012-09-08
Kamlesh Balmiki,1967-12-03,2019-05-27,False,2010-06-24
György Baló,1947-06-14,2019-03-18,False,2019-03-18
Márta Balogh,1943-03-02,2019-10-03,False,2012-02-28
Mike Balson,1947-04-19,2019-05-30,False,2009-05-14
Paul Balta,1929-03-24,2019-01-27,False,2019-02-04
Paulius Antanas Baltakis,1925-01-01,2019-05-17,False,2019-01-10
Gerd Baltus,1932-03-29,2019-12-13,False,2006-11-25
Karin Balzer,1938-06-05,2019-12-17,False,2004-05-20
Maurice Bamford,1936-04-20,2019-05-23,False,2006-08-26
Noémi Ban,1922-04-19,2019-06-07,False,2009-07-23
Cas Banaszek,1945-10-24,2019-12-04,False,2007-02-16
Marie-Claire Bancquart,1932-07-21,2019-02-19,False,2015-06-03
Victor J. Banis,1937-05-25,2019-02-22,False,2007-09-23
Gordon Banks,1937-12-30,2019-02-12,False,2001-08-27
Jimmy Banks,1964-04-19,2019-04-26,False,2006-11-18
Freddy Bannister,1934-12-03,2019-08-11,False,2007-10-12
Roohi Bano,1951-08-10,2019-01-25,False,2019-01-26
William S. Banowsky,1936-03-04,2019-04-28,False,2015-06-19
Bao Kexin,1952-04-19,2019-08-10,False,2019-08-22
Damodar Ganesh Bapat,1936-04-19,2019-08-17,False,2018-03-20
Vijaya Bapineedu,1936-04-19,2019-02-11,False,2009-12-06
Tibor Baranski,1922-06-11,2019-01-20,False,2017-08-27
Antonia Barber,1932-12-10,2019-04-04,False,2006-04-10
Butch Barber,1943-08-31,2019-12-12,False,2009-12-21
Adrish Bardhan,1932-12-01,2019-05-20,False,2019-05-21
John Bardo,1948-10-28,2019-03-12,False,2016-06-25
Ben Barenholtz,1935-10-05,2019-06-27,False,2010-06-03
Eldon Bargewell,1947-08-13,2019-04-29,False,2006-06-01
Pierre Barillet,1923-08-24,2019-01-08,False,2019-01-10
Colin Barker,1939-06-30,2019-02-04,False,2006-11-06
Edna Barker,1936-11-24,2019-03-25,False,2008-06-17
John W. Barker,1933-10-07,2019-10-24,False,2020-01-21
Paul Barker (writer),1935-08-24,2019-07-20,False,2006-09-18
Harry F. Barnes,1932-05-14,2019-02-27,False,2009-03-04
Katreese Barnes,1963-01-03,2019-08-03,False,2019-08-20
Christine Barnetson,1948-03-05,2019-06-19,False,2016-11-02
Graham Barnett (footballer),1936-05-17,2019-06-17,False,2009-02-22
Dale Barnstable,1925-03-04,2019-01-26,False,2011-10-05
Gerald Barrax,1933-06-21,2019-12-07,False,2008-12-01
Javier Barreda Jara,1966-12-13,2019-06-03,False,2019-06-04
Gustavo Barreiro,1959-07-12,2019-08-16,False,2006-10-03
Paul Barrere,1948-07-03,2019-10-26,False,2006-02-25
Fábio Barreto,1957-06-06,2019-11-20,False,2007-12-12
Elizabeth Barrett-Connor,1935-04-08,2019-06-10,False,2019-06-22
Paul Barrett,1940-12-14,2019-01-20,False,2009-01-24
Alain Barrière,1935-11-18,2019-12-18,False,2009-10-18
Françoise Barrière,1944-04-19,2019-04-24,False,2011-01-25
Timothy A. Barrow,1934-01-30,2019-03-16,False,2014-12-11
Tred Barta,1952-03-28,2019-08-11,False,2008-02-22
Dave Bartholomew,1918-12-24,2019-06-23,False,2004-03-05
Peter Bartlett (architect),1929-01-07,2019-12-21,False,2020-01-19
Arthur Bartman,1972-03-26,2019-03-19,False,2009-09-17
Vito Andrés Bártoli,1929-05-25,2019-01-24,False,2019-01-27
Can Bartu,1936-01-31,2019-04-11,False,2005-08-02
Vladimir Basalayev,1945-08-12,2019-03-28,False,2008-07-24
Tunç Başaran,1938-10-01,2019-12-18,False,2006-08-03
Gabriela Basařová,1934-01-17,2019-10-18,False,2019-12-20
Enriqueta Basilio,1948-07-15,2019-10-26,False,2007-01-05
James O. Bass,1910-07-12,2019-05-21,False,2019-05-25
Sam Bass (artist),1961-11-20,2019-02-16,False,2012-09-02
Tom Bass (politician),1927-01-11,2019-03-03,False,2011-05-12
Gerard Basset,1957-03-07,2019-01-16,False,2009-05-07
Paddy Bassett,1918-07-15,2019-07-20,False,2018-07-15
Giancarlo Bassi,1926-02-23,2019-05-17,False,2019-05-12
Roger Bastié,1932-04-19,2019-01-03,False,2019-01-22
William F. Batchelder,1926-10-15,2019-05-07,False,2015-08-28
Marc Batchelor,1970-01-04,2019-07-15,False,2019-07-16
Khandaker Abdul Baten,1946-05-17,2019-01-21,False,2018-03-05
Patricia Bath,1942-11-04,2019-05-30,False,2006-04-28
Osvaldo Batocletti,1950-01-22,2019-05-17,False,2006-05-06
Battaglia & Miseferi,1965-01-27,2019-04-01,False,2019-04-01
Patricia Battin,1929-06-02,2019-04-22,False,2007-06-10
Cosmas Batubara,1938-04-19,2019-08-08,False,2011-02-04
Nikolai Baturin,1936-08-05,2019-05-16,False,2006-07-02
Mario Baudoin,1942-04-19,2019-05-18,False,2019-06-02
Michael Bauman,1950-02-14,2019-10-02,False,2005-12-20
Jonathan Baumbach,1933-07-05,2019-03-28,False,2015-10-11
Eduardo Bauzá,1939-11-16,2019-02-17,False,2019-02-18
María Baxa,1946-04-15,2019-11-14,False,2012-02-19
Kate Baxter,1930-11-28,2019-03-23,False,2010-10-24
Birch Bayh,1963-01-03,1981-01-03,False,2004-06-02
Daniel H. Bays,1942-04-19,2019-05-09,False,2019-05-14
Arthur Baysting,1947-04-17,2019-12-03,False,2004-08-24
Giacomo Bazzan,1950-01-13,2019-12-24,False,2014-10-31
David Beaird,1952-08-19,2019-02-06,False,2010-02-06
Colin Beard,1941-12-12,2019-08-20,False,2007-11-27
Malcolm E. Beard,1919-02-21,2019-01-02,False,2014-11-22
Jim Beatty (musician),1934-06-09,2019-03-12,False,2019-07-28
Virginia Walcott Beauchamp,1920-06-28,2019-02-10,False,2019-03-14
Jean Beaudin,1939-02-06,2019-05-18,False,2009-05-10
Bob Beaven,1941-03-12,2019-02-11,False,2015-05-12
Ed Beck,1936-06-28,2019-10-16,False,2019-04-10
Geoffrey Beck (cricketer),1918-06-16,2019-03-05,False,2018-11-18
Larry Beck,1939-08-12,2019-06-03,False,2007-10-29
Bob Beckett,1936-04-08,2019-04-09,False,2009-04-16
Peter Beckwith,1939-04-19,2019-10-04,False,2016-03-02
Berkley Bedell,1921-03-05,2019-12-07,False,2007-06-04
Joseph Begich,1930-01-17,2019-08-10,False,2014-12-30
Zenon Begier,1935-11-23,2019-07-27,False,2018-01-12
Ari Behn,1972-04-19,2019-12-25,False,2003-05-08
Yannis Behrakis,1960-08-29,2019-03-02,False,2009-04-12
Ken Behring,1928-06-13,2019-06-25,False,2006-01-17
Julius Beinortas,1943-02-11,2019-02-13,False,2009-11-04
Kaddour Bekhloufi,1934-06-07,2019-07-26,False,2019-11-17
Carl Bell (physician),1947-10-28,2019-08-02,False,2008-01-08
Jim Bell (footballer),1935-12-15,2019-05-30,False,2009-11-10
Pedro Bell,1950-06-11,2019-08-27,False,2007-04-09
Ross Bell,1929-04-23,2019-11-09,False,2015-12-14
Steve Bell (news anchor),1935-12-09,2019-01-25,False,2007-02-07
"Timothy Bell, Baron Bell",1941-10-18,2019-08-25,False,2005-03-17
